District,VDC Code,VDC,Ward,HH,Total,Male,Female
Dhading,8,ChhatreDyaurali,4,198,993,469,524
Dhading,8,ChhatreDyaurali,5,145,763,357,406
Dhading,8,ChhatreDyaurali,6,238,"1,033",506,527
Dhading,8,ChhatreDyaurali,7,169,737,379,358
Dhading,8,ChhatreDyaurali,8,157,705,326,379
Dhading,8,ChhatreDyaurali,9,266,"1,284",600,684
Dhading,9,Darkha,1,150,661,296,365
Dhading,9,Darkha,2,155,713,319,394
Dhading,9,Darkha,3,107,519,242,277
Dhading,9,Darkha,4,170,808,363,445
Dhading,9,Darkha,5,85,440,198,242
Dhading,9,Darkha,6,78,371,162,209
Dhading,9,Darkha,7,112,459,214,245
Dhading,9,Darkha,8,175,905,449,456
Dhading,9,Darkha,9,89,393,188,205
Dhading,10,Dhola,1,117,483,201,282
Dhading,10,Dhola,2,157,645,300,345
Dhading,10,Dhola,3,86,344,151,193
Dhading,10,Dhola,4,78,327,137,190
Dhading,10,Dhola,5,102,444,191,253
Dhading,10,Dhola,6,61,234,97,137
Dhading,10,Dhola,7,240,909,419,490
Dhading,10,Dhola,8,73,291,143,148
Dhading,10,Dhola,9,84,356,133,223
Dhading,11,Dhussa,1,388,"1,849",913,936
Dhading,11,Dhussa,2,130,630,304,326
Dhading,11,Dhussa,3,62,363,179,184
Dhading,11,Dhussa,4,145,934,462,472
Dhading,11,Dhussa,5,107,568,290,278
Dhading,11,Dhussa,6,111,547,269,278
Dhading,11,Dhussa,7,173,961,481,480
Dhading,11,Dhussa,8,100,460,221,239
Dhading,11,Dhussa,9,145,878,429,449
Dhading,12,Dhuwakot,1,112,462,195,267
Dhading,12,Dhuwakot,2,213,"1,025",454,571
Dhading,12,Dhuwakot,3,86,377,172,205
Dhading,12,Dhuwakot,4,205,921,408,513
Dhading,12,Dhuwakot,5,90,406,191,215
Dhading,12,Dhuwakot,6,80,345,169,176
Dhading,12,Dhuwakot,7,86,390,183,207
Dhading,12,Dhuwakot,8,80,333,142,191
Dhading,12,Dhuwakot,9,111,503,238,265
Dhading,13,Gajuri,1,995,"3,907","1,928","1,979"
Dhading,13,Gajuri,2,397,"1,843",917,926
Dhading,13,Gajuri,3,62,322,161,161
Dhading,13,Gajuri,4,179,800,389,411
Dhading,13,Gajuri,5,70,381,189,192
Dhading,13,Gajuri,6,133,805,396,409
Dhading,13,Gajuri,7,92,456,236,220
Dhading,13,Gajuri,8,216,"1,099",549,550
Dhading,13,Gajuri,9,79,422,203,219
Dhading,14,Goganpani,1,179,874,416,458
Dhading,14,Goganpani,2,187,928,447,481
Dhading,14,Goganpani,3,167,836,401,435
Dhading,14,Goganpani,4,66,309,156,153
Dhading,14,Goganpani,5,49,240,125,115
Dhading,14,Goganpani,6,186,909,431,478
Dhading,14,Goganpani,7,95,456,214,242
Dhading,14,Goganpani,8,109,524,273,251
Dhading,14,Goganpani,9,95,487,233,254
Dhading,15,Gumdi,1,103,411,188,223
Dhading,15,Gumdi,2,129,600,266,334
Dhading,15,Gumdi,3,127,567,259,308
Dhading,15,Gumdi,4,77,344,150,194
Dhading,15,Gumdi,5,106,420,178,242
Dhading,15,Gumdi,6,199,854,368,486
Dhading,15,Gumdi,7,103,459,215,244
Dhading,15,Gumdi,8,143,629,273,356
Dhading,15,Gumdi,9,122,549,238,311
Dhading,16,Jeewanpur,1,109,463,217,246
Dhading,16,Jeewanpur,2,189,880,433,447
Dhading,16,Jeewanpur,3,169,742,377,365
Dhading,16,Jeewanpur,4,110,469,230,239
Dhading,16,Jeewanpur,5,248,"1,135",566,569
Dhading,16,Jeewanpur,6,228,"1,009",477,532
Dhading,16,Jeewanpur,7,183,908,453,455
Dhading,16,Jeewanpur,8,311,"1,463",725,738
Dhading,16,Jeewanpur,9,373,"1,720",851,869
Dhading,17,Jharlang,1,228,"1,256",604,652
Dhading,17,Jharlang,2,132,683,325,358
Dhading,17,Jharlang,3,133,656,301,355
Dhading,17,Jharlang,4,43,229,103,126
Dhading,17,Jharlang,5,35,157,72,85
Dhading,17,Jharlang,6,22,120,56,64
Dhading,17,Jharlang,7,40,232,106,126
Dhading,17,Jharlang,8,100,603,292,311
Dhading,17,Jharlang,9,37,222,103,119
Dhading,18,Jogimara,1,216,"1,186",587,599
Dhading,18,Jogimara,2,182,987,487,500
Dhading,18,Jogimara,3,87,402,214,188
Dhading,18,Jogimara,4,110,635,303,332
Dhading,18,Jogimara,5,216,"1,311",652,659
Dhading,18,Jogimara,6,127,758,369,389
Dhading,18,Jogimara,7,76,403,199,204
Dhading,18,Jogimara,8,137,710,358,352
Dhading,18,Jogimara,9,291,"1,352",673,679
Dhading,19,Jyamrung,1,200,868,360,508
Dhading,19,Jyamrung,2,191,840,350,490
Dhading,19,Jyamrung,3,140,615,246,369
Dhading,19,Jyamrung,4,207,928,399,529
Dhading,19,Jyamrung,5,166,707,318,389
Dhading,19,Jyamrung,6,214,853,391,462
Dhading,19,Jyamrung,7,109,443,192,251
Dhading,19,Jyamrung,8,239,"1,068",475,593
Dhading,19,Jyamrung,9,187,676,293,383
Dhading,20,Kalleri,1,255,"1,145",506,639
Dhading,20,Kalleri,2,257,"1,226",573,653
Dhading,20,Kalleri,3,293,"1,318",580,738
Dhading,20,Kalleri,4,243,"1,194",552,642
Dhading,20,Kalleri,5,133,564,272,292
Dhading,20,Kalleri,6,330,"1,620",772,848
Dhading,20,Kalleri,7,89,368,158,210
Dhading,20,Kalleri,8,165,713,323,390
Dhading,20,Kalleri,9,156,704,323,381
Dhading,21,Katunje,1,122,532,235,297
Dhading,21,Katunje,2,228,817,351,466
Dhading,21,Katunje,3,90,407,168,239
Dhading,21,Katunje,4,265,"1,162",526,636
Dhading,21,Katunje,5,92,336,139,197
Dhading,21,Katunje,6,143,602,250,352
Dhading,21,Katunje,7,211,926,405,521
Dhading,21,Katunje,8,150,556,230,326
Dhading,21,Katunje,9,124,568,255,313
Dhading,22,Kewalpur,1,139,616,276,340
Dhading,22,Kewalpur,2,71,323,161,162
Dhading,22,Kewalpur,3,100,399,190,209
Dhading,22,Kewalpur,4,172,701,346,355
Dhading,22,Kewalpur,5,96,486,222,264
Dhading,22,Kewalpur,6,209,991,502,489
Dhading,22,Kewalpur,7,78,388,191,197
Dhading,22,Kewalpur,8,98,442,204,238
Dhading,22,Kewalpur,9,141,664,320,344
Dhading,23,Khalte,1,135,599,251,348
Dhading,23,Khalte,2,108,497,222,275
Dhading,23,Khalte,3,162,782,343,439
Dhading,23,Khalte,4,226,"1,024",478,546
Dhading,23,Khalte,5,228,"1,012",449,563
Dhading,23,Khalte,6,270,"1,273",592,681
Dhading,23,Khalte,7,149,690,299,391
Dhading,23,Khalte,8,170,796,358,438
Dhading,23,Khalte,9,118,504,231,273
Dhading,24,Khari,1,198,780,342,438
Dhading,24,Khari,2,118,471,204,267
Dhading,24,Khari,3,166,675,311,364
Dhading,24,Khari,4,111,436,203,233
Dhading,24,Khari,5,70,312,135,177
Dhading,24,Khari,6,101,465,192,273
Dhading,24,Khari,7,105,418,187,231
Dhading,24,Khari,8,101,453,205,248
Dhading,24,Khari,9,81,371,165,206
Dhading,25,Kiranchok,1,203,917,440,477
Dhading,25,Kiranchok,2,89,494,247,247
Dhading,25,Kiranchok,3,109,577,285,292
Dhading,25,Kiranchok,4,178,997,505,492
Dhading,25,Kiranchok,5,116,640,313,327
Dhading,25,Kiranchok,6,112,609,296,313
Dhading,25,Kiranchok,7,115,586,287,299
Dhading,25,Kiranchok,8,108,515,236,279
Dhading,25,Kiranchok,9,133,671,319,352
Dhading,26,Kumpur,1,112,508,230,278
Dhading,26,Kumpur,2,234,"1,177",538,639
Dhading,26,Kumpur,3,260,"1,244",581,663
Dhading,26,Kumpur,4,257,"1,192",561,631
Dhading,26,Kumpur,5,275,"1,281",594,687
Dhading,26,Kumpur,6,243,"1,072",515,557
Dhading,26,Kumpur,7,336,"1,639",760,879
Dhading,26,Kumpur,8,251,"1,143",538,605
Dhading,26,Kumpur,9,154,756,319,437
Dhading,27,Lapa,1,114,533,243,290
Dhading,27,Lapa,2,169,737,353,384
Dhading,27,Lapa,3,104,478,209,269
Dhading,27,Lapa,4,52,250,116,134
Dhading,27,Lapa,5,93,406,196,210
Dhading,27,Lapa,6,86,376,174,202
Dhading,27,Lapa,7,144,652,305,347
Dhading,27,Lapa,8,60,300,145,155
Dhading,27,Lapa,9,31,161,77,84
Dhading,28,Mahadevsthan,1,205,"1,208",603,605
Dhading,28,Mahadevsthan,2,142,763,389,374
Dhading,28,Mahadevsthan,3,126,777,396,381
Dhading,28,Mahadevsthan,4,197,960,483,477
Dhading,28,Mahadevsthan,5,179,884,428,456
Dhading,28,Mahadevsthan,6,120,651,318,333
Dhading,28,Mahadevsthan,7,125,735,389,346
Dhading,28,Mahadevsthan,8,58,355,176,179
Dhading,28,Mahadevsthan,9,91,491,234,257
Dhading,29,Maidi,1,296,"1,281",577,704
Dhading,29,Maidi,2,230,905,391,514
Dhading,29,Maidi,3,219,936,395,541
Dhading,29,Maidi,4,242,"1,017",471,546
Dhading,29,Maidi,5,95,373,171,202
Dhading,29,Maidi,6,158,639,290,349
Dhading,29,Maidi,7,198,767,343,424
Dhading,29,Maidi,8,270,"1,138",504,634
Dhading,29,Maidi,9,459,"2,147",968,"1,179"
Dhading,30,Marpak,1,57,208,86,122
Dhading,30,Marpak,2,116,402,172,230
Dhading,30,Marpak,3,92,368,155,213
Dhading,30,Marpak,4,113,478,203,275
Dhading,30,Marpak,5,100,452,205,247
Dhading,30,Marpak,6,69,332,145,187
Dhading,30,Marpak,7,124,639,286,353
Dhading,30,Marpak,8,32,114,41,73
Dhading,30,Marpak,9,146,665,297,368
Dhading,31,Mulpani,1,44,199,83,116
Dhading,31,Mulpani,2,114,498,198,300
Dhading,31,Mulpani,3,120,538,222,316
Dhading,31,Mulpani,4,72,307,130,177
Dhading,31,Mulpani,5,56,223,102,121
Dhading,31,Mulpani,6,52,224,93,131
Dhading,31,Mulpani,7,118,454,192,262
Dhading,31,Mulpani,8,82,340,153,187
Dhading,31,Mulpani,9,91,392,174,218
Dhading,32,MuraliBhanjyang,1,170,759,350,409
Dhading,32,MuraliBhanjyang,2,395,"1,796",862,934
Dhading,32,MuraliBhanjyang,3,228,"1,019",470,549
Dhading,32,MuraliBhanjyang,4,174,741,320,421
Dhading,32,MuraliBhanjyang,5,151,654,286,368
Dhading,32,MuraliBhanjyang,6,135,539,236,303
Dhading,32,MuraliBhanjyang,7,165,714,303,411
Dhading,32,MuraliBhanjyang,8,122,473,215,258
Dhading,32,MuraliBhanjyang,9,133,558,235,323
Dhading,33,Nalang,1,122,578,272,306
Dhading,33,Nalang,2,172,731,303,428
Dhading,33,Nalang,3,311,"1,369",620,749
Dhading,33,Nalang,4,172,745,343,402
Dhading,33,Nalang,5,198,961,457,504
Dhading,33,Nalang,6,444,"1,901",887,"1,014"
Dhading,33,Nalang,7,185,680,311,369
Dhading,33,Nalang,8,95,389,164,225
Dhading,33,Nalang,9,177,713,317,396
Dhading,34,Naubise,1,496,"2,190","1,091","1,099"
Dhading,34,Naubise,2,424,"1,928",937,991
Dhading,34,Naubise,3,225,955,461,494
Dhading,34,Naubise,4,350,"1,606",763,843
Dhading,34,Naubise,5,324,"1,517",726,791
Dhading,34,Naubise,6,327,"1,446",730,716
Dhading,34,Naubise,7,512,"2,437","1,254","1,183"
Dhading,34,Naubise,8,358,"1,690",853,837
Dhading,34,Naubise,9,168,784,388,396
Dhading,35,Nilkantha,1,271,"1,206",564,642
Dhading,35,Nilkantha,2,451,"1,824",844,980
Dhading,35,Nilkantha,3,236,"1,047",470,577
Dhading,35,Nilkantha,4,247,"1,102",496,606
Dhading,35,Nilkantha,5,"3,370","12,004","5,720","6,284"
Dhading,35,Nilkantha,6,216,950,430,520
Dhading,35,Nilkantha,7,165,696,293,403
Dhading,35,Nilkantha,8,150,665,313,352
Dhading,35,Nilkantha,9,149,688,276,412
Dhading,36,Phulkhark,1,131,596,250,346
Dhading,36,Phulkhark,2,128,574,217,357
Dhading,36,Phulkhark,3,101,456,212,244
Dhading,36,Phulkhark,4,124,537,227,310
Dhading,36,Phulkhark,5,120,511,229,282
Dhading,36,Phulkhark,6,73,326,146,180
Dhading,36,Phulkhark,7,55,258,118,140
Dhading,36,Phulkhark,8,101,443,197,246
Dhading,36,Phulkhark,9,87,424,173,251
Dhading,37,Pida,1,450,"2,136","1,052","1,084"
Dhading,37,Pida,2,485,"2,076","1,006","1,070"
Dhading,37,Pida,3,293,"1,362",679,683
Dhading,37,Pida,4,167,900,422,478
Dhading,37,Pida,5,178,905,432,473
Dhading,37,Pida,6,204,"1,067",535,532
Dhading,37,Pida,7,108,683,329,354
Dhading,37,Pida,8,160,950,463,487
Dhading,37,Pida,9,169,964,497,467
Dhading,38,ReeGaun,1,123,553,244,309
Dhading,38,ReeGaun,2,143,654,285,369
Dhading,38,ReeGaun,3,57,287,111,176
Dhading,38,ReeGaun,4,153,796,371,425
Dhading,38,ReeGaun,5,101,478,228,250
Dhading,38,ReeGaun,6,144,777,336,441
Dhading,38,ReeGaun,7,122,559,258,301
Dhading,38,ReeGaun,8,100,454,212,242
Dhading,38,ReeGaun,9,167,876,426,450
Dhading,39,Salang,1,116,593,283,310
Dhading,39,Salang,2,70,328,149,179
Dhading,39,Salang,3,108,538,252,286
Dhading,39,Salang,4,113,534,254,280
Dhading,39,Salang,5,145,824,414,410
Dhading,39,Salang,6,74,322,144,178
Dhading,39,Salang,7,146,729,324,405
Dhading,39,Salang,8,203,957,429,528
Dhading,39,Salang,9,165,825,406,419
Dhading,40,Salyankot,1,146,631,255,376
Dhading,40,Salyankot,2,88,379,149,230
Dhading,40,Salyankot,3,92,414,170,244
Dhading,40,Salyankot,4,125,541,221,320
Dhading,40,Salyankot,5,141,632,246,386
Dhading,40,Salyankot,6,56,219,96,123
Dhading,40,Salyankot,7,151,668,295,373
Dhading,40,Salyankot,8,170,711,317,394
Dhading,40,Salyankot,9,154,725,364,361
Dhading,41,Salyantar,1,191,861,392,469
Dhading,41,Salyantar,2,206,945,422,523
Dhading,41,Salyantar,3,168,774,345,429
Dhading,41,Salyantar,4,148,719,329,390
Dhading,41,Salyantar,5,142,626,264,362
Dhading,41,Salyantar,6,144,645,280,365
Dhading,41,Salyantar,7,262,"1,074",479,595
Dhading,41,Salyantar,8,431,"1,890",867,"1,023"
Dhading,41,Salyantar,9,99,358,161,197
Dhading,42,Sangkosh,1,143,597,258,339
Dhading,42,Sangkosh,2,175,796,391,405
Dhading,42,Sangkosh,3,314,"1,415",655,760
Dhading,42,Sangkosh,4,113,489,216,273
Dhading,42,Sangkosh,5,139,631,280,351
Dhading,42,Sangkosh,6,80,330,153,177
Dhading,42,Sangkosh,7,124,605,269,336
Dhading,42,Sangkosh,8,102,415,173,242
Dhading,42,Sangkosh,9,54,243,101,142
Dhading,43,Satyadevi,1,80,349,167,182
Dhading,43,Satyadevi,2,58,276,117,159
Dhading,43,Satyadevi,3,100,498,232,266
Dhading,43,Satyadevi,4,71,291,124,167
Dhading,43,Satyadevi,5,101,451,191,260
Dhading,43,Satyadevi,6,68,285,120,165
Dhading,43,Satyadevi,7,77,323,135,188
Dhading,43,Satyadevi,8,109,467,203,264
Dhading,43,Satyadevi,9,96,382,165,217
Dhading,44,Semjong,1,104,411,178,233
Dhading,44,Semjong,2,92,421,188,233
Dhading,44,Semjong,3,76,278,123,155
Dhading,44,Semjong,4,102,396,172,224
Dhading,44,Semjong,5,110,448,207,241
Dhading,44,Semjong,6,95,331,150,181
Dhading,44,Semjong,7,66,256,116,140
Dhading,44,Semjong,8,114,435,189,246
Dhading,44,Semjong,9,88,330,131,199
Dhading,45,Sertung,1,112,476,229,247
Dhading,45,Sertung,2,98,438,204,234
Dhading,45,Sertung,3,60,256,103,153
Dhading,45,Sertung,4,66,271,131,140
Dhading,45,Sertung,5,117,482,209,273
Dhading,45,Sertung,6,86,387,164,223
Dhading,45,Sertung,7,98,433,195,238
Dhading,45,Sertung,8,97,413,181,232
Dhading,45,Sertung,9,83,441,209,232
Dhading,46,SunaulaBazar,1,151,607,283,324
Dhading,46,SunaulaBazar,2,118,502,216,286
Dhading,46,SunaulaBazar,3,71,307,138,169
Dhading,46,SunaulaBazar,4,253,"1,263",581,682
Dhading,46,SunaulaBazar,5,94,374,161,213
Dhading,46,SunaulaBazar,6,233,963,434,529
Dhading,46,SunaulaBazar,7,321,"1,364",602,762
Dhading,46,SunaulaBazar,8,198,880,370,510
Dhading,46,SunaulaBazar,9,91,362,147,215
Dhading,47,Tasarpu,1,175,733,360,373
Dhading,47,Tasarpu,2,137,739,368,371
Dhading,47,Tasarpu,3,79,314,141,173
Dhading,47,Tasarpu,4,85,369,179,190
Dhading,47,Tasarpu,5,61,321,161,160
Dhading,47,Tasarpu,6,85,446,198,248
Dhading,47,Tasarpu,7,122,613,310,303
Dhading,47,Tasarpu,8,136,635,331,304
Dhading,47,Tasarpu,9,218,981,446,535
Dhading,48,Thakre,1,122,589,275,314
Dhading,48,Thakre,2,228,"1,042",498,544
Dhading,48,Thakre,3,611,"2,812","1,412","1,400"
Dhading,48,Thakre,4,317,"1,382",662,720
Dhading,48,Thakre,5,157,755,377,378
Dhading,48,Thakre,6,76,370,170,200
Dhading,48,Thakre,7,125,550,271,279
Dhading,48,Thakre,8,230,"1,031",480,551
Dhading,48,Thakre,9,275,"1,307",636,671
Dhading,49,Tipling,1,25,117,56,61
Dhading,49,Tipling,2,36,149,68,81
Dhading,49,Tipling,3,51,190,92,98
Dhading,49,Tipling,4,57,213,101,112
Dhading,49,Tipling,5,42,179,86,93
Dhading,49,Tipling,6,33,169,94,75
Dhading,49,Tipling,7,77,332,162,170
Dhading,49,Tipling,8,60,296,140,156
Dhading,49,Tipling,9,83,427,220,207
Dhading,50,Tripureswor,1,125,445,193,252
Dhading,50,Tripureswor,2,77,331,141,190
Dhading,50,Tripureswor,3,198,779,354,425
Dhading,50,Tripureswor,4,73,287,138,149
Dhading,50,Tripureswor,5,44,196,90,106
Dhading,50,Tripureswor,6,65,267,129,138
Dhading,50,Tripureswor,7,91,369,152,217
Dhading,50,Tripureswor,8,82,379,169,210
Dhading,50,Tripureswor,9,64,340,146,194
